GP,W/L,GF,GA,CF,CA,CF%
1,W,5,3,34,55,38.2
2,L,4,5,32,56,36.4
3,W,4,3,60,34,63.8
4,W,5,4,50,45,52.6
5,W,2,1,58,38,60.4
6,W,3,2,27,39,40.9
7,L,4,5,52,51,50.5
8,W,2,0,38,58,39.6
9,W,7,1,47,47,50
10,W,5,1,39,65,37.5
11,W,3,2,51,33,60.7
12,L,1,4,48,35,57.8
13,W,8,5,50,41,54.9
14,L,1,2,52,48,52
15,W,5,4,55,48,53.4
16,W,5,1,44,61,41.9
17,W,5,2,49,43,53.3
18,W,2,1,66,58,53.2
19,W,6,1,42,44,48.8
20,L,3,5,65,49,57
21,W,3,2,47,41,53.4
22,L,1,3,54,54,50
23,L,2,5,55,37,59.8
24,W,2,0,39,43,47.6
25,L,2,3,46,59,43.8
26,W,5,2,65,52,55.6
27,W,6,2,58,37,61.1
28,W,5,2,48,36,57.1
29,W,4,3,41,42,49.4
30,W,3,0,47,54,46.5
31,W,4,1,68,51,57.1
32,W,6,5,45,50,47.4
33,L,3,4,53,58,47.7
34,W,4,3,66,25,72.5
35,W,3,0,52,18,74.3
36,W,3,1,44,49,47.3
37,L,3,5,50,38,56.8
38,W,5,0,47,33,58.8
39,W,2,0,54,46,54
40,L,1,2,71,70,50.4
41,L,3,6,72,51,58.5
42,W,5,2,46,50,47.9
43,W,5,4,58,47,55.2
44,L,1,5,55,37,59.8
45,L,1,4,36,55,39.6
46,L,2,5,49,50,49.5
47,W,2,0,45,51,46.9
48,W,4,3,47,49,49
49,W,5,1,38,52,42.2
50,L,1,3,41,49,45.6
51,W,7,4,54,70,43.5
52,W,4,2,33,50,39.8
53,L,2,6,52,47,52.5
54,W,5,2,53,43,55.2
55,W,4,3,42,53,44.2
56,L,3,4,54,44,55.1
57,L,3,5,33,43,43.4
58,W,4,1,50,47,51.5
59,L,3,4,55,28,66.3
60,W,4,2,41,59,41
61,W,4,3,43,56,43.4
62,W,4,3,59,52,53.2
63,W,4,3,58,36,61.7
64,L,1,2,44,46,48.9
65,W,5,4,45,61,42.5
66,W,7,6,52,44,54.2
67,W,5,4,59,69,46.1
68,W,5,3,61,44,58.1
69,W,3,2,48,44,52.2
70,L,4,7,61,41,59.8
71,L,0,3,53,36,59.6
72,W,3,1,60,32,65.2
73,W,4,3,39,44,47
74,W,7,6,45,54,45.5
75,L,1,2,62,47,56.9
76,L,1,4,40,45,47.1
77,L,2,4,49,44,52.7
78,W,7,3,64,43,59.8
79,L,1,4,45,41,52.3
80,W,4,0,44,50,46.8
81,W,7,5,47,36,56.6
82,L,2,3,45,64,41.3
83,W,2,1,44,45,49.4
84,L,1,4,59,32,64.8
85,W,8,2,33,33,50
86,W,4,2,46,52,46.9
87,W,3,1,43,38,53.1
88,L,4,5,50,52,49
89,W,6,3,65,51,56
90,W,1,0,38,26,59.4
91,W,3,2,34,59,36.6
92,L,1,7,49,38,56.3
93,W,8,3,55,48,53.4
94,L,1,4,61,40,60.4
95,W,4,1,57,64,47.1
96,W,4,3,76,44,63.3
97,W,5,2,46,40,53.5
98,W,4,2,31,46,40.3
99,L,4,6,51,42,54.8
100,L,1,2,62,33,65.3
101,W,4,3,34,36,48.6
102,W,6,5,54,55,49.5
103,L,2,3,47,54,46.5
104,W,7,3,57,43,57
105,W,4,2,46,49,48.4
106,W,5,2,46,51,47.4
107,L,1,3,50,36,58.1
108,W,5,4,53,37,58.9
109,W,5,4,57,38,60
110,W,5,1,44,31,58.7
111,W,6,5,60,38,61.2
